Id,Yr,TE,seTE,Cl,Pop,vari,bl.def
2,2014,1.147286822,0.329569681,1997 WHO Classification,Mixed population,sex,
6,2003,1.5,0.903696114,1997 WHO Classification,Mixed population,sex,
7,2010,8,1.160699023,1997 WHO Classification,Children,sex,
11,2008,1.645299145,0.420325263,1997 WHO Classification,Children,sex,
13,2017,1.084663764,0.23115659,1997 WHO Classification,Adults,sex,
14,2017,0.744556839,0.077188466,The classification of Brazilian  Ministry of Health,Mixed population,sex,
15,2006,1.096153846,0.429459483,1997 WHO Classification,Mixed population,sex,
16,2014,1.664,0.473936055,1997 WHO Classification,Adults,sex,
17,2015,1.18382212,0.133647924,1997 WHO Classification,Mixed population,sex,
19,2005,0.912592593,0.412380552,1997 WHO Classification,Children,sex,
20,2017,1.645299145,0.420325263,2009 WHO Classification,Mixed population,sex,
21,2017,3.5,0.920985497,1997 WHO Classification,Adults,sex,
22,2018,1.440047022,0.241708073,2009 WHO Classification,Children,sex,
23,2007,0.538461538,0.63371792,1997 WHO Classification,Children,sex,
25,2008,0.448979592,0.936281676,N/A,Mixed population,sex,
26,2016,3.979591837,0.655212965,2009 WHO Classification,Adults,sex,
27,2017,1.866666667,0.44454364,1997 WHO Classification,Mixed population,sex,
31,2017,4.15920398,0.49133903,2009 WHO Classification,Adults,sex,
35,2010,1.085239085,0.357420064,1997 WHO Classification,Children,sex,
36,2010,0.666666667,0.576048463,1997 WHO Classification,Mixed population,sex,
37,2015,0.646065766,0.251300786,1997 WHO Classification,Adults,sex,
39,2015,0.628278388,0.341946361,2009 WHO Classification,Adults,sex,
40,2017,0.694857063,0.18331456,1997 WHO Classification,Children,sex,
42,2006,0.993055556,0.228324103,1997 WHO Classification,Children,sex,
43,2017,3.141463415,0.398470793,2009 WHO Classification,Adults,sex,
44,2014,1.612498256,0.229633132,1997 WHO Classification,Adults,sex,
46,2013,1.216783217,0.379331657,1997 WHO Classification,Mixed population,sex,
61,2015,4.8,0.633552594,2009 WHO Classification,Adults,sex,
62,2008,1.085188356,0.195586953,1997 WHO Classification,Adults,sex,
69,2000,0.694043887,0.286995994,1997 WHO Classification,Mixed population,sex,
72,2011,1.183333333,0.309523726,1997 WHO Classification,Children,sex,
76,2015,4,1.118033989,1997 WHO Classification,Mixed population,sex,
77,2017,0.9,0.144893887,2009 WHO Classification,Mixed population,sex,
83,2016,0.192156863,0.641252276,2009 WHO Classification,Children,sex,
86,2015,1.003367003,0.164505796,Both 1997 and 2009 WHO Classifactions,Children,sex,
90,2014,0.535657179,0.48867387,2009 WHO Classification,Adults,sex,
92,2016,2.882352941,0.763304037,1997 WHO Classification,Adults,sex,
93,2008,0.269230769,0.578934224,Both 1997 and 2009 WHO Classifactions,Adults,sex,
95,2012,3.333333333,0.733891335,1997 WHO Classification,Mixed population,sex,
96,2014,4.331432332,0.233399715,2009 WHO Classification,Mixed population,sex,
102,2012,1.634551495,0.523293927,1997 WHO Classification,Children,sex,
103,2017,1.1,0.622677503,2009 WHO Classification,Adults,sex,
106,2014,1.224489796,0.588244631,2009 WHO Classification,Adults,sex,
111,2001,1.122077922,0.301989555,1997 WHO Classification,Children,sex,
112,2010,0.532258065,0.399453847,1997 WHO Classification,Mixed population,sex,
114,2013,0.883449133,0.155489674,1997 WHO Classification,Mixed population,sex,
120,2005,0.5,0.635488909,1997 WHO Classification,Children,sex,
121,2011,0.910472973,0.400536013,Both 1997 and 2009 WHO Classifactions,Children,sex,
122,2016,0.99,0.493646502,2009 WHO Classification,Children,sex,
124,2018,1.927903872,0.233363614,2009 WHO Classification,Adults,sex,
125,2018,0.720823799,0.367705839,2009 WHO Classification,Children,sex,
126,2017,0.570168067,0.322683889,1997 WHO Classification,Adults,sex,
128,2010,1.17,0.189119715,1997 WHO Classification,Children,sex,
129,2014,2.55828877,0.302472981,1997 WHO Classification,Mixed population,sex,
134,2015,2.818181818,1.762679246,1997 WHO Classification,Adults,sex,
138,2015,1.280327869,0.470517843,2009 WHO Classification,Adults,sex,
150,2019,1.088016967,0.258249023,2009 WHO Classification,Mixed population,sex,
151,2019,1.182795699,0.781694277,2009 WHO Classification,Children,sex,
153,2019,1.498327759,0.327226469,2009 WHO Classification,Children,sex,
155,2019,1.350877193,0.502140932,2009 WHO Classification,Mixed population,sex,
156,2019,0.874418605,0.3667866,1997 WHO Classification,Mixed population,sex,
158,2019,1.277777778,0.423257059,1997 WHO Classification,Children,sex,
159,2018,0.955951265,0.231088663,2009 WHO Classification,Mixed population,sex,
