Vari,No.Stud,Rm,SS1.SS2,SMD,LoCI,UpCI,P.value,Heterogeneity,X
,"
",,"
",NA,NA,NA,,"
",NA
Age,"
",,"
",NA,NA,NA,,"
",NA
        All included studies,67,,"
",0.06,-0.02,0.14,< 0.0001,75.2,0.84
        Sensitivity analysis,63,"37, 141, 156, 158","
",0,-0.06,0.06,< 0.0001,49.4,0.12
        With 2009 Classification,25,,"
",0.02,-0.05,0.08,,18.87,NA
        With 1997 Classification,38,,"
",0.09,-0.04,0.23,,84.5,NA
        ,"
",,"
",NA,NA,NA,,"
",NA
Weight,"
",,"
",NA,NA,NA,,"
",NA
        All included studies,5,,"
",-0.36,-0.83,0.12,< 0.0001,85.7,0.34
,"
",,"
",NA,NA,NA,,"
",NA
Platelet count,"
",,"
",NA,NA,NA,,"
",NA
        All included studies,12,,"
",-0.34,-0.54,-0.15,< 0.0001,73.9,0.59
        Sensitivity analysis,10,"169, 174","
",-0.21,-0.32,-0.1,,0,0.76
        With 1997 Classification,9,,"
",-0.42,-0.64,-0.19,,74.5,NA
        With 2009 Classification,3,,"
",-0.08,-0.29,0.14,,0,NA
        ,"
",,"
",NA,NA,NA,,"
",NA
Leukocyte count,"
",,"
",NA,NA,NA,,"
",NA
        All included studies,7,,"
",-0.04,-0.16,0.08,0.5668,0,0.19
,"
",,"
",NA,NA,NA,,"
",NA
Haematocrit,"
",,"
",NA,NA,NA,,"
",NA
        All included studies,10,,"
",0.07,-0.11,0.26,0.4407,31.9,0.59
        Sensitivity analysis,8,"19,100","
",0.04,-0.11,0.18,0.6008,0,0.76
        ,"
",,"
",NA,NA,NA,,"
",NA
AST,"
",,"
",NA,NA,NA,,"
",NA
        All included studies,7,,"
",1.06,0.54,1.57,< 0.0001,82.9,0.05
        Sensitivity analysis,6,76,"
",0.8,0.44,1.16,< 0.0001,61.8,0.16
        ,"
",,"
",NA,NA,NA,,"
",NA
ALT,"
",,"
",NA,NA,NA,,"
",NA
        All included studies,7,,"
",0.73,0.36,1.09,0.0058,67,0.01
        Sensitivity analysis,5,"39, 100","
",0.45,0.22,0.67,0.5804,0,0.23
        ,"
",,"
",NA,NA,NA,,"
",NA
Serum albumin,"
",,"
",NA,NA,NA,,"
",0.21
        All included studies,4,,"
",-0.5,-0.86,-0.15,0.1468,44.1,NA
