"","Id","Population_group","Classification","Publication_year","serotype","events","n_grp"
"1",10,"Adults","2009 WHO Classification",2015,"n1",13,103
"2",11,"Children","1997 WHO Classification",2008,"n1",10,26
"3",20,"Mixed population","2009 WHO Classification",2017,"n1",9,44
"4",24,"Children","1997 WHO Classification",2014,"n1",19,45
"5",40,"Children","1997 WHO Classification",2017,"n1",65,956
"6",72,"Children","1997 WHO Classification",2011,"n1",40,61
"7",75,"Children","1997 WHO Classification",2010,"n1",54,162
"8",80,"Adults","1997 WHO Classification",2016,"n1",5,10
"9",86,"Children","1997 WHO Classification",2015,"n1",22,133
"10",93,"Adults","1997 WHO Classification",2008,"n1",8,28
"11",101,"Mixed population","1997 WHO Classification",2011,"n1",11,42
"12",102,"Children","1997 WHO Classification",2012,"n1",20,21
"13",126,"Adults","1997 WHO Classification",2017,"n1",0.1,3.1
"14",130,"Children","1997 WHO Classification",2012,"n1",9,57
"15",149,"Mixed population","2009 WHO Classification",2019,"n1",18,64
"16",150,"Mixed population","2009 WHO Classification",2019,"n1",18,64
"17",151,"Children","2009 WHO Classification",2019,"n1",1,10
"18",152,"Children","1997 WHO Classification",2019,"n1",14,215
"19",163,"Adults","2009 WHO Classification",2018,"n1",0.5,8.5
"20",164,"Adults","2009 WHO Classification",2018,"n1",7,18
"21",169,"Mixed population","1997 WHO Classification",2018,"n1",2.996,19.999
"22",172,"Mixed population","1997 WHO Classification",2018,"n1",16,30
"23",10,"Adults","2009 WHO Classification",2015,"n2",13,268
"24",11,"Children","1997 WHO Classification",2008,"n2",4,6
"25",20,"Mixed population","2009 WHO Classification",2017,"n2",2,4
"26",24,"Children","1997 WHO Classification",2014,"n2",50,80
"27",40,"Children","1997 WHO Classification",2017,"n2",46,553
"28",72,"Children","1997 WHO Classification",2011,"n2",42,56
"29",75,"Children","1997 WHO Classification",2010,"n2",44,102
"30",80,"Adults","1997 WHO Classification",2016,"n2",5,6
"31",86,"Children","1997 WHO Classification",2015,"n2",72,153
"32",93,"Adults","1997 WHO Classification",2008,"n2",NA,NA
"33",101,"Mixed population","1997 WHO Classification",2011,"n2",11,39
"34",102,"Children","1997 WHO Classification",2012,"n2",20,21
"35",126,"Adults","1997 WHO Classification",2017,"n2",8,50
"36",130,"Children","1997 WHO Classification",2012,"n2",10,37
"37",149,"Mixed population","2009 WHO Classification",2019,"n2",12,41
"38",150,"Mixed population","2009 WHO Classification",2019,"n2",18,63
"39",151,"Children","2009 WHO Classification",2019,"n2",3,17
"40",152,"Children","1997 WHO Classification",2019,"n2",4,88
"41",163,"Adults","2009 WHO Classification",2018,"n2",18,527
"42",164,"Adults","2009 WHO Classification",2018,"n2",12,25
"43",169,"Mixed population","1997 WHO Classification",2018,"n2",8.988,13.006
"44",172,"Mixed population","1997 WHO Classification",2018,"n2",4,19
